protein,rank,published_importance,uniprot,panel,protein_definition,local_feature
HSPB6,184,0.0022650781831687,O14558,Oncology,Heat shock protein beta-6,hspb6
SCARF2,185,0.0022606642643051,Q96GP6,Neurology,Scavenger receptor class F member 2,scarf2
CEACAM16,186,0.0022280408386532,Q2WEN9,Oncology II,Carcinoembryonic antigen-related cell adhesion molecule 16,ceacam16
PLXNB2,187,0.0022114631634061,O15031,Cardiometabolic,Plexin-B2,plxnb2
PIGR,188,0.0022018905571764,P01833,Neurology,Polymeric immunoglobulin receptor,pigr
RNASE1,189,0.0021992313121034,P07998,Inflammation II,Ribonuclease pancreatic,rnase1
PLA2G2A,190,0.0021823819336825,P14555,Cardiometabolic,"Phospholipase A2, membrane associated",pla2g2a
YAP1,191,0.0021796219383948,P46937,Neurology II,Transcriptional coactivator YAP1,yap1
FABP4,192,0.0021654868325974,P15090,Cardiometabolic,"Fatty acid-binding protein, adipocyte",fabp4
MMP8,193,0.002138941202379,P22894,Neurology,Neutrophil collagenase,mmp8
NCAN,194,0.0021269170098759,O14594,Neurology,Neurocan core protein,ncan
OSCAR,195,0.0021237995354697,Q8IYS5,Inflammation,Osteoclast-associated immunoglobulin-like receptor,oscar
PRTN3,196,0.0021089821269088,P24158,Cardiometabolic,Myeloblastin,prtn3
GFRA1,197,0.0021044794904818,P56159,Oncology,GDNF family receptor alpha-1,gfra1
IL15,198,0.0021027132189042,P40933,Inflammation,Interleukin-15,il15
MME,199,0.0020897203191541,P08473,Oncology,Neprilysin,mme
ICAM2,200,0.0020881709928267,P13598,Cardiometabolic,Intercellular adhesion molecule 2,icam2
C7,201,0.0020865085314467,P10643,Inflammation II,Complement component C7,c7
VWF,202,0.0020779953361941,P04275,Cardiometabolic,von Willebrand factor,vwf
CCL22,203,0.002075998193644,O00626,Inflammation,C-C motif chemokine 22,ccl22
FGL1,204,0.0020733873723615,Q08830,Inflammation II,Fibrinogen-like protein 1,fgl1
GHR,205,0.0020658039098976,P10912,Inflammation II,Growth hormone receptor,ghr
GAST,206,0.0020520994275756,P01350,Neurology II,Gastrin,gast
CTSS,207,0.0020464056338111,P25774,Neurology,Cathepsin S,ctss
CLGN,208,0.0020423057880666,O14967,Neurology II,Calmegin,clgn
MILR1,209,0.0020386630896883,Q7Z6M3,Inflammation,Allergin-1,milr1
CNTN1,210,0.0020314553298941,Q12860,Cardiometabolic,Contactin-1,cntn1
SSC4D,211,0.0020278117581141,Q8WTU2,Cardiometabolic,Scavenger receptor cysteine-rich domain-containing group B protein,ssc4d
FABP6,212,0.0020156881342211,P51161,Cardiometabolic,Gastrotropin,fabp6
TFF1,213,0.0019974761354982,P04155,Neurology,Trefoil factor 1,tff1
FBLN2,214,0.0019764602481341,P98095,Cardiometabolic II,Fibulin-2,fbln2
TNFRSF6B,215,0.0019713839867811,O95407,Neurology,Tumor necrosis factor receptor superfamily member 6B,tnfrsf6b
ITGA5,216,0.001970538162641,P08648,Neurology,Integrin alpha-5,itga5
SCGB3A1,217,0.0019683786325593,Q96QR1,Inflammation II,Secretoglobin family 3A member 1,scgb3a1
GALNT10,218,0.0019458898522733,Q86SR1,Oncology,Polypeptide N-acetylgalactosaminyltransferase 10,galnt10
IL6,219,0.0019445087449816,P05231,Oncology,Interleukin-6,il6
CD99L2,220,0.001930501363199,Q8TCZ2,Neurology,CD99 antigen-like protein 2,cd99l2
SPON2,221,0.0019259595926604,Q9BUD6,Cardiometabolic,Spondin-2,spon2
LGALS9,222,0.0019153307757708,O00182,Inflammation,Galectin-9,lgals9
CST3,223,0.0019065114444272,P01034,Cardiometabolic,Cystatin-C,cst3
LBP,224,0.0018964820689915,P18428,Cardiometabolic,Lipopolysaccharide-binding protein,lbp
SFTPD,225,0.0018959792004673,P35247,Cardiometabolic,Pulmonary surfactant-associated protein D,sftpd
RELT,226,0.0018925446784659,Q969Z4,Neurology,Tumor necrosis factor receptor superfamily member 19L,relt
SDC1,227,0.0018914915036657,P18827,Cardiometabolic,Syndecan-1,sdc1
EDN1,228,0.0018777541757846,P05305,Cardiometabolic II,Endothelin-1,edn1
MIA,229,0.0018757040399026,Q16674,Oncology,Melanoma-derived growth regulatory protein,mia
WNT9A,230,0.0018680240258198,O14904,Inflammation,Protein Wnt-9a,wnt9a
NOS1,231,0.0018628687581387,P29475,Neurology,"Nitric oxide synthase, brain",nos1
SCRG1,232,0.0018456927295562,O75711,Cardiometabolic II,Scrapie-responsive protein 1,scrg1
CD59,233,0.0018327571309886,P13987,Cardiometabolic,CD59 glycoprotein,cd59
EFNA4,234,0.001828771293873,P52798,Neurology,Ephrin-A4,efna4
STC1,235,0.0018260422533018,P52823,Neurology,Stanniocalcin-1,stc1
TNF,236,0.0018211706781369,P01375,Cardiometabolic,Tumor necrosis factor,tnf
F9,237,0.001818847816816,P00740,Cardiometabolic,Coagulation factor IX,f9
SIGLEC1,238,0.0017918322318227,Q9BZZ2,Inflammation,Sialoadhesin,siglec1
CD27,239,0.0017869090076075,P26842,Oncology,CD27 antigen,cd27
ICAM1,240,0.0017653419536205,P05362,Cardiometabolic,Intercellular adhesion molecule 1,icam1
COL5A1,241,0.0017175506621007,P20908,Inflammation II,Collagen alpha-1(V) chain,col5a1
MFAP4,242,0.0016955290568352,P55083,Inflammation II,Microfibril-associated glycoprotein 4,mfap4
NPDC1,243,0.0016345399525028,Q9NQX5,Cardiometabolic,Neural proliferation differentiation and control protein 1,npdc1
CCL16,244,0.0016202628158712,O15467,Cardiometabolic,C-C motif chemokine 16,ccl16
CD302,245,0.0016113382204981,Q8IX05,Oncology,CD302 antigen,cd302
TNFRSF19,246,0.0015451326242503,Q9NS68,Oncology,Tumor necrosis factor receptor superfamily member 19,tnfrsf19
CTSO,247,0.0015240764775006,P43234,Inflammation,Cathepsin O,ctso
VCAM1,248,0.0015103217384472,P19320,Cardiometabolic,Vascular cell adhesion protein 1,vcam1
CA6,249,0.0014911327242419,P23280,Neurology,Carbonic anhydrase 6,ca6
NCR1,250,0.0014717741327802,O76036,Inflammation,Natural cytotoxicity triggering receptor 1,ncr1
SERPIND1,251,0.0014686633624868,P05546,Inflammation II,Heparin cofactor 2,serpind1
ACVRL1,252,0.0014641803847976,P37023,Neurology,Serine/threonine-protein kinase receptor R3,acvrl1
DPT,253,0.001456278097007,Q07507,Cardiometabolic,Dermatopontin,dpt
CD80,254,0.0014443659511553,P33681,Cardiometabolic II,T-lymphocyte activation antigen CD80,cd80
LGALS1,255,0.0014416169677956,P09382,Cardiometabolic,Galectin-1,lgals1
LTBR,256,0.0014009938110404,P36941,Inflammation,Tumor necrosis factor receptor superfamily member 3,ltbr
PIK3IP1,257,0.0011691345649232,Q96FE7,Neurology,Phosphoinositide-3-kinase-interacting protein 1,pik3ip1
